Time;Exp;Theory
0.0;0.1185;0.2255
0.5;0.6524;0.3052
1.0;0.1291;0.0744
1.5;0.9445;0.7611
2.0;0.0272;0.1183
2.5;0.7598;0.0450
3.0;0.8159;0.2669
3.5;0.8003;0.1770
4.0;0.5716;0.2433
4.5;0.6651;0.2302
5.0;0.9983;0.0772
5.5;0.1004;0.0805
6.0;0.8433;0.6214
6.5;0.0067;0.1156
7.0;0.8238;0.1607
7.5;0.3952;0.0420
8.0;0.6452;0.1123
8.5;0.8480;0.3830
9.0;0.1986;0.5566
9.5;0.9114;0.6670
10.0;0.7693;0.5655
10.5;0.5009;0.4875
11.0;0.2110;0.0104
11.5;0.9227;0.4968
12.0;0.0461;0.2639
12.5;0.2177;0.2197
13.0;0.9554;0.9440
13.5;0.6130;0.2423
